CODE;PL
03;Produkty rolnictwa, hodowli, rybołówstwa, leśnictwa i podobne
09;Produkty naftowe, paliwo, energia elektryczna i inne źródła energii
14;Górnictwo, metale podstawowe i produkty pokrewne
15;Żywność, napoje, tytoń i produkty pokrewne
16;Maszyny rolnicze
18;Odzież, obuwie, artykuły bagażowe i dodatki
19;Skóra i tkaniny włókiennicze, tworzywa sztuczne i guma
22;Druki i produkty podobne
24;Produkty chemiczne
30;Maszyny biurowe i liczące, sprzęt i materiały, z wyjątkiem mebli i pakietów oprogramowania
31;"Maszyny, aparatura, urządzenia i wyroby elektryczne; oświetlenie"
32;Sprzęt radiowy, telewizyjny, komunikacyjny, telekomunikacyjny i podobny
33;Urządzenia medyczne, farmaceutyki i produkty do pielęgnacji ciała
34;Sprzęt transportowy i produkty pomocnicze dla transportu
35;Sprzęt bezpieczeństwa, gaśniczy, policyjny i obronny
37;Instrumenty muzyczne, artykuły sportowe, gry, zabawki, wyroby rzemieślnicze, materiały i akcesoria artystyczne
38;Sprzęt laboratoryjny, optyczny i precyzyjny (z wyjątkiem szklanego)
39;Meble (włącznie z biurowymi), wyposażenie, urządzenia domowe (z wyłączeniem oświetlenia) i środki czyszczące
41;Woda zlewnicza i oczyszczona
42;Maszyny przemysłowe
43;Maszyny górnicze, do pracy w kamieniołomach, sprzęt budowlany
44;"Konstrukcje i materiały budowlane; wyroby pomocnicze dla budownictwa (z wyjątkiem aparatury elektrycznej)"
45;Roboty budowlane
48;Pakiety oprogramowania i systemy informatyczne
50;Usługi naprawcze i konserwacyjne
51;Usługi instalowania (z wyjątkiem oprogramowania komputerowego)
55;Usługi hotelarskie, restauracyjne i handlu detalicznego
60;Usługi transportowe (z wyłączeniem transportu odpadów)
63;Usługi dodatkowe i pomocnicze w zakresie transportu, usługi biur podróży
64;Usługi pocztowe i telekomunikacyjne
65;Obiekty użyteczności publicznej
66;Usługi finansowe i ubezpieczeniowe
70;Usługi w zakresie nieruchomości
71;Usługi architektoniczne, budowlane, inżynieryjne i kontrolne
72;Usługi informatyczne: konsultacyjne, opracowywania oprogramowania, internetowe i wsparcia
73;Usługi badawcze i eksperymentalno-rozwojowe oraz pokrewne usługi doradcze
75;Usługi administracji publicznej, obrony i zabezpieczenia socjalnego
76;Usługi przemysłu naftowego oraz gazowniczego
77;Usługi rolnicze, leśne, ogrodnicze, hydroponiczne i pszczelarskie
79;Usługi biznesowe: prawnicze, marketingowe, konsultingowe, rekrutacji, drukowania i zabezpieczania
80;Usługi edukacyjne i szkoleniowe
85;Usługi w zakresie zdrowia i opieki społecznej
90;Usługi odbioru ścieków, usuwania odpadów, czyszczenia/sprzątania i usługi ekologiczne
92;Usługi rekreacyjne, kulturalne i sportowe
98;Inne usługi komunalne, socjalne i osobiste
