CODE;PL
1832;Biustonosze, gorsety, pasy do pończoch i podobne wyroby
1833;Koszulki i koszule
1840;Odzież specjalna i dodatki
1841;Odzież specjalna
1842;Dodatki odzieżowe
1844;Kapelusze i nakrycia głowy
1845;Zapięcia (do odzieży)
1850;Biżuteria, zegarki i artykuły podobne
1851;Biżuteria i podobne wyroby
1852;Wyroby zegarmistrzowskie do użytku osobistego
1853;Prezenty i nagrody
1860;Futra i wyroby z futra
1861;Wyroby futrzane
1862;Futra
1880;Obuwie
1881;Obuwie inne niż sportowe oraz ochronne
1882;Obuwie sportowe
1883;Obuwie ochronne
1884;Części obuwia
1890;Bagaże, wyroby rymarskie, worki i torby
1891;Wyroby rymarskie
1892;Bagaże
1893;Worki i torby
1900;Skóra i tkaniny włókiennicze, tworzywa sztuczne i guma
1910;Skóra wyprawiona
1911;Skóra zamszowa
1912;Skóra bydlęca lub ze zwierząt parzystokopytnych
1913;Skóra owiec, kóz lub świń
1914;Skóra innych zwierząt, skóra wtórna i inna skóra
1916;Paski do zegarków
1917;Wyroby skórzane używane w maszynach lub urządzeniach mechanicznych
1920;Tkaniny włókiennicze i podobne
1921;Tkaniny tkane
1922;Tkaniny wełniane
1923;Tkaniny bieliźniane
1924;Tkaniny specjalne
1925;Tkaniny dziane lub szydełkowane
1926;Tkaniny
1927;Tkaniny inne niż tkane
1928;Wełna zwierzęca, skóry i skórki
1940;Przędza i nić włókiennicza
1941;Włókna tkane naturalne
1942;Włókna tkane sztuczne
1943;Przędza włókiennicza i nić z włókien naturalnych
1944;Nić lub przędza syntetyczna
1950;Guma i tworzywa sztuczne
1951;Produkty z gumy
1952;Produkty z tworzyw sztucznych
1960;Odpady skórzane, włókiennicze, gumowe i tworzyw sztucznych
1961;Odpady skórzane
1962;Odpady włókiennicze
1963;Odpady gumowe
1964;Torebki i torby z odpadów i resztek polietylenu
1970;Kauczuk syntetyczny i włókna
1971;Kauczuk syntetyczny
1972;Włókna syntetyczne
1973;Włókna sztuczne
2200;Druki i produkty podobne
2210;Drukowane książki, broszury i ulotki
2211;Drukowane książki
2212;Wydawnictwa
2213;Spisy
2214;Ulotki
2215;Broszury
2216;Informatory
2220;Gazety, dzienniki, czasopisma i magazyny
2221;Gazety
2230;Pocztówki, karty okolicznościowe i inne druki
2231;Pocztówki
2232;Karty okolicznościowe
2240;Znaczki, formularze czeków, świadectwa udziałowe, handlowe materiały reklamowe, katalogi i podręczniki
2241;Znaczki
2242;Papier ze znakiem wodnym
2243;Banknoty
2244;Formularze czeków
2245;Papiery wartościowe
2246;Handlowe materiały reklamowe, handlowe katalogi i przewodniki
2247;Instrukcje
2250;Klisze lub cylindry, lub inne nośniki do użytku w drukarstwie
2251;Płyty offsetowe
2252;Sprzęt do wytrawiania
2260;Tusz
2261;Farba drukarska
2280;Rejestry, księgi rachunkowe, skoroszyty, formularze i inne wyroby piśmiennicze z papieru lub tektury
2281;Rejestry papierowe lub tekturowe
2282;Formularze
2283;Zeszyty ćwiczeń
2284;Albumy do przechowywania eksponatów
2285;Skoroszyty i podobne wyroby
2290;Różne druki
