CODE;PL
4331;Maszyny inżynierii lądowej i wodnej
4332;Urządzenia budowlane
4340;Maszyny do obróbki minerałów i formierskie
4341;Maszyny do obróbki minerałów
4342;Maszyny do form odlewniczych
4350;Maszyny do kładzenia szyn
4360;Części maszyn górniczych, kopalniczych oraz budowlanych
4361;Części maszyn do strugania
4362;Części maszyn do obróbki minerałów
4363;Części maszyn do głębienia szybów
4364;Części koparek
4370;Części maszyn metalurgicznych oraz podobne części
4371;Maszyny do walcowania metalu
4372;Maszyny odlewnicze
4380;Urządzenia warsztatowe
4381;Urządzenia do obróbki drewna
4382;Sprzęt do wyrobu butów
4383;Narzędzia ręczne z napędem mechanicznym
4384;Urządzenia kowalskie
4400;"Konstrukcje i materiały budowlane; wyroby pomocnicze dla budownictwa (z wyjątkiem aparatury elektrycznej)"
4410;Materiały konstrukcyjne i elementy podobne
4411;Materiały konstrukcyjne
4413;Studzienki kanalizacyjne
4414;Produkty związane z materiałami budowlanymi
4416;Rurociągi, instalacje rurowe, rury, okładziny rurowe, rury i podobne elementy
4417;Płyty, arkusze, pasek i folia związana z materiałami budowlanymi
4419;Różne materiały budowlane
4420;Wyroby konstrukcyjne
4421;Konstrukcje i części konstrukcji
4422;Stolarka budowlana
4423;Ciesielskie elementy budowlane
4430;Kabel, drut i podobne wyroby
4431;Wyroby z drutu
4432;Kabel i podobne wyroby
4433;Sztaby, pręty, drut i profile stosowane w budownictwie
4440;Różne produkty gotowe i elementy z nimi związane
4441;Artykuły łazienkowe i kuchenne
4442;Wyroby stosowane w budownictwie
4443;Zbrojenia
4444;Łożyska
4445;Stal miękka
4446;Podpórki i rozpórki górnicze
4447;Wyroby z żeliwa
4448;Różny sprzęt gaśniczy
4450;Narzędzia, zamki, klucze, zawiasy, mocowania, łańcuchy i sprężyny
4451;Narzędzia
4452;Zamki, klucze i zawiasy
4453;Zaczepy
4454;Łańcuch
4455;Sprężyny
4460;"Zbiorniki, rezerwuary i pojemniki; grzejniki centralnego ogrzewania i kotły"
4461;Zbiorniki, rezerwuary, pojemniki i zbiorniki ciśnieniowe
4462;Grzejniki centralnego ogrzewania i kotły grzewcze, i ich części
4480;Farby, lakiery i mastyksy
4481;Farby
4482;Lakiery
4483;Mastyksy, wypełniacze, kity i rozpuszczalniki
4490;Kamień budowlany, wapień, gips i łupek
4491;Kamień budowlany
4492;Wapień, kamień gipsowy i kreda
4493;Łupek
4500;Roboty budowlane
4510;Przygotowanie terenu pod budowę
4511;"Roboty w zakresie burzenia i rozbiórki obiektów budowlanych; roboty ziemne"
4512;Próbne wiercenia i wykopy
4520;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej
4521;Roboty budowlane w zakresie budynków
4522;Roboty inżynieryjne i budowlane
4523;"Roboty budowlane w zakresie budowy rurociągów, linii komunikacyjnych i elektroenergetycznych, autostrad, dróg, lotnisk i kolei; wyrównywanie terenu"
4524;Budowa obiektów inżynierii wodnej
4525;Roboty w zakresie instalowania, wydobycia produkcji oraz budowy obiektów budowlanych przemysłu naftowego i gazowniczego
4526;Roboty w zakresie wykonywania pokryć i konstrukcji dachowych i inne podobne roboty specjalistycze
4530;Roboty instalacyjne w budynkach
4531;Roboty instalacyjne elektryczne
4532;Roboty izolacyjne
4533;Roboty instalacyjne wodno-kanalizacyjne i sanitarne
4534;Instalowanie ogrodzeń, płotów i sprzętu ochronnego
4535;Instalacje mechaniczne
4540;Roboty wykończeniowe w zakresie obiektów budowlanych
4541;Tynkowanie
4542;Roboty w zakresie zakładania stolarki budowlanej oraz roboty ciesielskie
4543;Pokrywanie podłóg i ścian
4544;Roboty malarskie i szklarskie
4545;Roboty budowlane wykończeniowe, pozostałe
4550;Wynajem maszyn i urządzeń wraz z obsługą operatorską do prowadzenia robót z zakresu budownictwa oraz inżynierii wodnej i lądowej
4551;Wynajem dźwigów wraz z obsługą operatorską
4552;Wynajem koparek wraz z obsługą operatorską
4800;Pakiety oprogramowania i systemy informatyczne
4810;Przemysłowe specyficzne pakiety oprogramowania
4811;Pakiety oprogramowania dla punktów sprzedaży
4812;Pakiety oprogramowania do kontroli lotów
4813;Pakiety oprogramowania dla wsparcia naziemnego dla lotnictwa i do testów lotniczych
4814;Pakiety oprogramowania do kontroli ruchu kolejowego
4815;Pakiety oprogramowania do kontroli przemysłowej
4816;Pakiety oprogramowania bibliotecznego
4817;Pakiety oprogramowania zapewniające zgodność
4818;Pakiety oprogramowania medycznego
4819;Pakiety oprogramowania edukacyjnego
4820;Pakiety oprogramowania dla sieci, internetu i intranetu
4821;Pakiety oprogramowania dla sieci
4822;Pakiety oprogramowania dla internetu i intranetu
4830;Pakiety oprogramowania do tworzenia dokumentów, rysowania, odwzorowywania, tworzenia harmonogramów i produkowania
4831;Pakiety oprogramowania do tworzenia dokumentów
4832;Pakiety oprogramowania do rysowania i odwzorowywania
4833;Pakiety oprogramowania do opracowywania harmonogramów i kontroli produkcji
4840;Pakiety oprogramowania do kontroli transakcji biznesowych i osobistych
4841;Pakiety oprogramowania do zarządzania inwestycjami i przygotowywania deklaracji podatkowych
4842;Pakiety oprogramowania do zarządzania urządzeniami i zestawy pakietów oprogramowania
4843;Pakiety oprogramowania do zarządzania zapasami
4844;Pakiety oprogramowania do analizy finansowej i rachunkowości/księgowości
4845;Pakiety oprogramowania do rozliczania czasu lub zarządzania zasobami ludzkimi
4846;Analityczne, naukowe, matematyczne lub prognozujące pakiety oprogramowania
4847;Pakiety oprogramowania do aukcji
4848;Pakiety oprogramowania dla sprzedaży, marketingu i wywiadu gospodarczego
4849;Pakiety oprogramowania do zamówień
4850;Pakiety oprogramowania komunikacyjnego i multimedialnego
4851;Pakiety oprogramowania komunikacyjnego
4852;Pakiety oprogramowania multimedialnego
4860;Pakiety oprogramowania dla baz danych i operacyjne
4861;Systemy baz danych
4862;Systemy operacyjne
4870;Pakiety oprogramowania użytkowego
4871;Pakiety oprogramowania do kopii zapasowych i odzyskiwania
4872;Pakiety oprogramowania do kodów kreskowych
4873;Pakiety oprogramowania zabezpieczającego
4874;Pakiety oprogramowania do tłumaczenia z języków obcych
4875;Pakiety oprogramowania do wczytywania z nośników przechowujących
4876;Pakiety oprogramowania do ochrony antywirusowej
4877;Pakiety oprogramowania użytkowego ogólnego, kompresującego i do drukowania
4878;Pakiety oprogramowania do zarządzania systemem, przechowywaniem i zawartością
4879;Pakiety oprogramowania do sprawdzania wersji
4880;Systemy i serwery informacyjne
4881;Systemy informacyjne
4882;Serwery
4890;Różne pakiety oprogramowania i systemy komputerowe
4891;Pakiety oprogramowania do gier komputerowych, gry rodzinne i wygaszacze ekranu
4892;Pakiety oprogramowania do automatyzacji prac biurowych
4893;Pakiety oprogramowania szkoleniowego i rozrywkowego
4894;Pakiety oprogramowania do projektowania wzorów i oprogramowania kalendarzowego
4895;System namierzania łodzi i system nagłaśniający
4896;Pakiety oprogramowania do sterowników systemowych
4897;Pakiety oprogramowania dla drukarni
4898;Języki programowania i narzędzia
4899;Pakiety oprogramowania arkuszy kalkulacyjnych i rozszerzeń
5000;Usługi naprawcze i konserwacyjne
5010;Usługi w zakresie napraw i konserwacji pojazdów i podobnego sprzętu oraz podobne usługi
5011;Usługi w zakresie napraw i konserwacji pojazdów silnikowych i podobnego sprzętu oraz podobne usługi
5019;Usługi w zakresie złomowania pojazdów
5020;Usługi w zakresie napraw i konserwacji statków powietrznych, kolei, sprzętu drogowego i morskiego
5021;Usługi w zakresie napraw i konserwacji statków powietrznych i innego sprzętu
5022;Usługi w zakresie napraw i konserwacji oraz podobne usługi dotyczące kolei i innego sprzętu
5023;Usługi w zakresie napraw i konserwacji i podobne usługi osprzętu dróg i innego sprzętu
5024;Usługi w zakresie napraw i konserwacji i inne usługi dotyczące sprzętu morskiego i innego
5030;Usługi w zakresie napraw i konserwacji i podobne usługi dotyczące komputerów osobistych, sprzętu biurowego, sprzętu telekomunikacyjnego i audiowizualnego
5031;Usługi w zakresie napraw i konserwacji maszyn biurowych
5032;Usługi w zakresie napraw i konserwacji komputerów osobistych
5033;Usługi w zakresie konserwacji sprzętu telekomunikacyjnego
5034;Usługi w zakresie napraw i konserwacji urządzeń audiowizualnych i optycznych
5040;Usługi w zakresie napraw i konserwacji urządzeń medycznych i precyzyjnych
5041;Usługi w zakresie napraw i konserwacji aparatury pomiarowej, badawczej i kontrolnej
5042;Usługi w zakresie napraw i konserwacji sprzętu medycznego i chirurgicznego
5043;Usługi w zakresie napraw i konserwacji urządzeń precyzyjnych
5050;Usługi w zakresie napraw i konserwacji pomp, zaworów, zaworów odcinających, pojemników metalowych i maszyn
5051;Usługi w zakresie napraw i konserwacji pomp, zaworów, zaworów odcinających i pojemników metalowych
5053;Usługi w zakresie napraw i konserwacji maszyn
5060;Usługi w zakresie napraw i konserwacji materiałów dla bezpieczeństwa i obrony
5061;Usługi w zakresie napraw i konserwacji sprzętu bezpieczeństwa
5062;Usługi w zakresie napraw i konserwacji broni palnej i amunicji
5063;Usługi w zakresie napraw i konserwacji pojazdów wojskowych
5064;Usługi w zakresie napraw i konserwacji okrętów wojennych
5065;Usługi w zakresie napraw i konserwacji samolotów wojskowych, rakiet (pocisków rakietowych) i statków kosmicznych
5066;Usługi w zakresie napraw i konserwacji wojskowych systemów elektronicznych
5070;Usługi w zakresie napraw i konserwacji instalacji budynkowych
5071;Usługi w zakresie napraw i konserwacji elektrycznych i mechanicznych instalacji budynkowych
5072;Usługi w zakresie napraw i konserwacji centralnego ogrzewania
5073;Usługi w zakresie napraw i konserwacji układów chłodzących
5074;Usługi w zakresie napraw i konserwacji podnośników
5075;Usługi w zakresie konserwacji wind
5076;Usługi napraw i konserwacji obiektów użyteczności społecznej
5080;Różne usługi w zakresie napraw i konserwacji
5081;Usługi w zakresie naprawy biżuterii
5082;Usługi w zakresie naprawy wyrobów skórzanych użytku osobistego
5083;Usługi w zakresie naprawy odzieży i wyrobów włókienniczych
5084;Usługi w zakresie napraw i konserwacji broni i systemów uzbrojenia
5085;Usługi w zakresie napraw i konserwacji mebli
5086;Usługi w zakresie napraw i konserwacji instrumentów muzycznych
5087;Usługi w zakresie napraw i konserwacji wyposażenia placów zabaw
5088;Usługi w zakresie napraw i konserwacji wyposażenia hotelowego i restauracyjnego
5100;Usługi instalowania (z wyjątkiem oprogramowania komputerowego)
5110;Usługi instalowania urządzeń elektrycznych i mechanicznych
5111;Usługi instalowania sprzętu elektrycznego
5112;Usługi instalowania urządzeń mechanicznych
5113;Usługi instalowania generatorów pary, turbin, sprężarek i palników
5114;Usługi instalowania silników
5120;Usługi instalowania urządzeń do mierzenia, kontroli, badania i nawigacji
5121;Usługi instalowania urządzeń pomiarowych
5122;Usługi instalowania urządzeń kontrolnych
5123;Usługi instalowania urządzeń badawczych
5124;Usługi instalowania urządzeń nawigacyjnych
5130;Usługi instalowania urządzeń komunikacyjnych
5131;Usługi instalowania urządzeń telewizyjnych, radiowych, dźwiękowych i wideo
5132;Usługi instalowania nadajników radiowych i telewizyjnych
5133;Usługi instalowania aparatury radiotelefonicznej
5134;Usługi instalowania urządzeń telefonicznych
5135;Usługi instalowania urządzeń telegraficznych
5140;Usługi instalowania sprzętu medycznego i chirurgicznego
5141;Usługi instalowania sprzętu medycznego
5142;Usługi instalowania sprzętu chirurgicznego
5143;Usługi instalowania sprzętu laboratoryjnego
5150;Usługi instalowania maszyn i urządzeń
5151;Usługi instalowania maszyn i urządzeń ogólnego zastosowania
5152;Usługi instalowania maszyn rolniczych i używanych w leśnictwie
5153;Usługi instalowania obrabiarek
5154;Usługi instalowania maszyn i urządzeń specjalnego zastosowania
5155;Usługi instalowania systemów uzbrojenia
5160;Usługi instalowania komputerów i urządzeń biurowych
5161;Usługi instalowania urządzeń komputerowych i przetwarzania informacji
5162;Usługi instalowania urządzeń biurowych
5170;Usługi instalowania sprzętu przeciwpożarowego
5180;Usługi instalowania metalowych pojemników
5181;Usługi instalowania zbiorników
5182;Usługi instalowania rezerwuarów
5190;Usługi instalowania systemów sterowania i kontroli
5500;Usługi hotelarskie, restauracyjne i handlu detalicznego
5510;Usługi hotelarskie
5511;Hotelarskie usługi noclegowe
5512;Usługi hotelarskie w zakresie spotkań i konferencji
5513;Inne usługi hotelarskie
5520;Pola kempingowe i inne miejsca noclegowe, inne niż hotelowe
5521;Usługi w zakresie schronisk młodzieżowych
5522;Usługi w zakresie pól kempingowych
5524;Usługi w zakresie ośrodków i domów wypoczynkowych
5525;Usługi w zakresie krótkoterminowego wynajmu umeblowanych miejsc noclegowych
5526;Usługi w zakresie pojazdów z miejscami noclegowymi
5527;Usługi świadczone przez placówki oferujące wyżywienie i miejsca noclegowe
5530;Usługi restauracyjne i dotyczące podawania posiłków
5531;Restauracyjne usługi kelnerskie
5532;Usługi podawania posiłków
5533;Usługi kawiarniane
5540;Usługi podawania napojów
5541;Usługi prowadzenia baru
5550;Usługi bufetowe oraz w zakresie podawania posiłków
5551;Usługi bufetowe
5552;Usługi dostarczania posiłków
5590;Usługi handlu detalicznego
6000;Usługi transportowe (z wyłączeniem transportu odpadów)
6010;Usługi w zakresie transportu drogowego
6011;Usługi w zakresie publicznego transportu drogowego
6012;Usługi taxi
6013;Usługi w zakresie specjalistycznego transportu drogowego osób
6014;Nieregularny transport osób
6015;Transport osób pojazdami ciągniętymi przez zwierzęta
6016;Drogowy transport przesyłek pocztowych
6017;Wynajem pojazdów przeznaczonych do transportu osób wraz z kierowcą
6018;Wynajem pojazdów do transportu towarów wraz z kierowcą
6020;Usługi transportu kolejowego
6021;Usługi publicznego transportu kolejowego
6022;Transport kolejowy poczty
6030;Usługi przesyłu rurociągami
6040;Usługi transportu lotniczego
6041;Usługi regularnego transportu lotniczego
6042;Usługi nieregularnego transportu lotniczego
6044;Usługi lotnicze i podobne
6050;Usługi transportu kosmicznego
6051;Usługi w zakresie wystrzeliwania satelitów
6052;Usługi eksperymentalne w zakresie ładunków użytecznych
6060;Usługi transportu wodnego
6061;Usługi transportu promowego
6062;Transport poczty drogą wodną
6063;Usługi wykonywane przez statki kablowce
6064;Działalność żeglugowa
6065;Wynajem transportowego sprzętu wodnego wraz z załogą
6300;Usługi dodatkowe i pomocnicze w zakresie transportu, usługi biur podróży
6310;Usługi przeładunku i składowania towarów
6311;Usługi przeładunku towarów
6312;Usługi składowania i magazynowania
6350;Usługi biur podróży, podmiotów turystycznych i pomocy turystycznej
6351;Usługi biur podróży i podobne
6352;Usługi agencji transportowych
6370;Usługi dodatkowe w zakresie transportu lądowego, wodnego i lotniczego
6371;Usługi dodatkowe w zakresie transportu lądowego
6372;Usługi wspierające transport wodny
6373;Usługi dodatkowe dla transportu lotniczego
6400;Usługi pocztowe i telekomunikacyjne
6410;Usługi pocztowe i kurierskie
6411;Usługi pocztowe
6412;Usługi kurierskie
6420;Usługi telekomunikacyjne
6421;Usługi telefoniczne i przesyłu danych
6422;Usługi telekomunikacyjne, z wyjątkiem usług telefonicznych i przesyłu danych
6500;Obiekty użyteczności publicznej
6510;Usługi przesyłu wody i podobne
6511;Przesył wody
6512;Obsługa zakładów oczyszczania wody
6513;Obsługa stacji wody
6520;Przesył gazu i podobne usługi
6521;Przesył gazu
6530;Przesył energii elektrycznej i podobne usługi
6531;Przesył energii elektrycznej
6532;Eksploatacja instalacji elektrycznych
6540;Przesył i stacje innych źródeł energii
6541;Eksploatacja elektrowni
6550;Odczyty liczników
6600;Usługi finansowe i ubezpieczeniowe
6610;Usługi bankowe i inwestycyjne
6611;Usługi bankowe
6612;Inwestycyjne usługi bankowe i usługi powiązane
6613;Usługi brokerskie i usługi podobne w zakresie zabezpieczenia ubezpieczeń towarów
6614;Usługi zarządzania pakietem
6615;Usługi administrowania rynkami finansowymi
6616;Usługi powiernicze i przechowywania (aktywów)
6617;Usługi w zakresie doradztwa finansowego, przetwarzania transakcji finansowych i usługi izb rozrachunkowych
6618;Usługi wymiany walut
6619;Usługi maklerskie w zakresie pożyczek
6650;Usługi ubezpieczeniowe i emerytalne
6651;Usługi ubezpieczeniowe
6652;Usługi emerytalno-rentowe
6660;Usługi skarbowe
6670;Usługi reasekuracji
6671;Usługi reasekuracji na życie
6672;Usługi reasekuracji od następstw nieszczęśliwych wypadków i ubezpieczeń zdrowotnych
7000;Usługi w zakresie nieruchomości
7010;Usługi w zakresie obsługi nieruchomości własnych
7011;Usługi rozbudowy nieruchomości
7012;Kupno i sprzedaż nieruchomości
7013;Wynajem nieruchomości stanowiących własność
7020;Usługi wynajmu lub leasingu nieruchomości stanowiących własność
7021;Usługi wynajmu lub leasingu nieruchomości mieszkalnych
7022;Usługi wynajmu lub leasingu nieruchomości innych niż mieszkalne
7030;Obsługa nieruchomości realizowana na zasadzie bezpośredniej płatności lub umowy
7031;Usługi wynajmu lub sprzedaży obiektów budowlanych
7032;Usługi wynajmu lub sprzedaży gruntów
7033;Usługi zarządzania nieruchomościami na zasadzie bezpośredniej płatności lub umowy
7034;Usługi przydziału
7100;Usługi architektoniczne, budowlane, inżynieryjne i kontrolne
7120;Usługi architektoniczne i podobne
7121;Doradcze usługi architektoniczne
7122;Usługi projektowania architektonicznego
7123;Organizowanie architektonicznych konkursów projektowych
7124;Usługi architektoniczne, inżynieryjne i planowania
7125;Usługi architektoniczne, inżynieryjne i pomiarowe
7130;Usługi inżynieryjne
7131;Doradcze usługi inżynieryjne i budowlane
7132;Usługi inżynieryjne w zakresie projektowania
7133;Różne usługi inżynieryjne
7134;Zintegrowane usługi inżynieryjne
7135;Usługi inżynieryjne naukowe i techniczne
7140;Usługi architektoniczne dotyczące planowania przestrzennego i zagospodarowania terenu
7141;Usługi planowania przestrzennego
7142;Architektoniczne usługi zagospodarowania terenu
7150;Usługi związane z budownictwem
7151;Usługi badania terenu
7152;Usługi nadzoru budowlanego
7153;Doradcze usługi budowlane
7154;Usługi zarządzania budową
7155;Usługi kowalskie
7160;Usługi w zakresie testowania technicznego, analizy i konsultacji technicznej
7161;Usługi badania i analizy czystości i składu
7162;Usługi analizy
7163;Usługi kontroli i nadzoru technicznego
7170;Usługi nadzoru i kontroli
7173;Usługi kontroli przemysłowej
7180;Usługi konsultacyjne w zakresie dostaw wody i konsultacje dotyczące odpadów
7190;Usługi laboratoryjne
7200;Usługi informatyczne: konsultacyjne, opracowywania oprogramowania, internetowe i wsparcia
7210;Usługi doradcze w zakresie sprzętu komputerowego
7211;Usługi doradcze w zakresie doboru sprzętu komputerowego
7212;Usługi doradcze w zakresie poawaryjnego odzyskiwania sprzętu koputerowego
7213;Usługi doradcze w zakresie planowania powierzchni komputerowej
7214;Usługi doradcze w zakresie badań odbiorczych sprzętu komputerowego
7215;Usługi doradztwa w zakresie audytu komputerowego oraz sprzętu komputerowego
7220;Usługi doradcze w zakresie programowania oprogramowania
7221;Usługi programowania pakietów oprogramowania
7222;Usługi doradcze w zakresie systemów i doradztwo techniczne
7223;Usługi w zakresie rozbudowy oprogramowania
7224;Usługi analizy systemu i programowania
7225;Usługi w zakresie konserwacji i wsparcia systemów
7226;Usługi w zakresie oprogramowania
7230;Usługi w zakresie danych
7231;Usługi przetwarzania danych
7232;Usługi bazy danych
7233;Usługi w zakresie standaryzacji i klasyfikacji zawartości lub danych
7240;Usługi internetowe
7241;Usługi dostawców
7242;Usługi w zakresie rozwijania internetu
7250;Komputerowe usługi pokrewne
7251;Usługi zarządzania wspierane komputerowo
7254;Usługi modernizowania komputerów
7259;Profesjonalne usługi komputerowe
7260;Usługi doradcze i dodatkowe w zakresie sprzętu komputerowego
7261;Usługi dodatkowe w zakresie sprzętu komputerowego
7270;Usługi w zakresie sieci komputerowej
7271;Usługi w zakresie lokalnej sieci komputerowej
7272;Usługi w zakresie rozległej sieci komputerowej
7280;Usługi audytu komputerowego i testowania komputerów
7281;Usługi audytu komputerowego
7282;Usługi testowania komputerów
7290;Usługi archiwizacji komputerowej i konwersji katalogów
7291;Usługi archiwizacji komputerowej
7292;Usługi konwersji katalogów
7300;Usługi badawcze i eksperymentalno-rozwojowe oraz pokrewne usługi doradcze
7310;Usługi badawcze i eksperymentalno-rozwojowe
7311;Usługi badawcze
7312;Usługi eksperymentalno-rozwojowe
7320;Usługi doradcze w zakresie badań i rozwoju
7321;Usługi doradcze w zakresie badań
7322;Usługi doradcze w zakresie rozwoju
7330;Projekt i realizacja badań oraz rozwój
7340;Usługi badawczo-rozwojowe w zakresie bezpieczeństwa i materiałów obronnych
7341;Badania wojskowe i technologia wojskowa
7342;Studium przedwykonalności i demonstracja technologiczna
7343;Testy i ocena
7500;Usługi administracji publicznej, obrony i zabezpieczenia socjalnego
7510;Usługi administracji publicznej
7511;Usługi administracji ogólnej
7512;Usługi administracyjne świadczone przez agencje
7513;Usługi administracyjne dotyczące ruchu turystycznego
7520;Ogólne usługi personelu dla władz publicznych
7521;Świadczenie usług na rzecz wspólnoty
7522;Usługi w zakresie obrony
7523;Usługi wymiaru sprawiedliwości
7524;Usługi w zakresie bezpieczeństwa, prawa i porządku publicznego
7525;Usługi straży pożarnej oraz ratownicze
7530;Usługi w zakresie obowiązkowego ubezpieczenia społecznego
7531;Świadczenia społeczne
7532;Plany emerytalne dla pracowników administracji rządowej
7533;Zasiłki rodzinne
7534;Zasiłki przysługujące na dzieci
7600;Usługi przemysłu naftowego oraz gazowniczego
7610;Usługi zawodowe w branży gazowniczej
7611;Doraźne usługi związane z wydobyciem gazu
7612;Doraźne usługi nurkowe związane z wydobyciem gazu
7620;Usługi zawodowe przemysłu naftowego
7621;Usługi doraźne związane z wydobyciem ropy
7630;Usługi wiertnicze
7631;Doraźne usługi wiertnicze związane z wydobyciem gazu
7632;Przybrzeżne usługi wiertnicze
7633;Usługi wiertnicze turbinowe
7634;Wiercenie rdzeniowe
7640;Usługi wprowadzania sprzętu wiertniczego
7641;Usługi kładzenia rur okładzinowych oraz przewodów rurowych do odwiertów
7642;Usługi betonowania odwiertów
7643;Usługi odwiertów oraz produkcji
7644;Usługi wybijania odwiertów
7645;Usługi utrzymania odwiertów
7646;Usługi dodatkowe dotyczące odwiertów
7647;Usługi badania odwiertów
7648;Usługi kładzenia rur
7649;Usługi instalowania odwiertów
7650;Usługi lądowe i przybrzeżne
7651;Usługi lądowe
7652;Usługi przybrzeżne
7653;Usługi związane z odwiertami podziemnymi
7660;Usługi nadzoru nad rurociągami
7700;Usługi rolnicze, leśne, ogrodnicze, hydroponiczne i pszczelarskie
7710;Usługi rolnicze
7711;Usługi doraźne produkcji rolnej
7712;Usługi kompostowania
7720;Usługi leśnictwa
7721;Usługi pozyskiwania drewna
7722;Usługi impregnacji drewna
7723;Usługi doraźne dotyczące leśnictwa
7730;Usługi ogrodnicze
7731;Usługi sadzenia roślin oraz utrzymania terenów zielonych
7732;Usługi utrzymania terenów sportowych
7733;Usługi wystaw kwiatowych
7734;Usługi okrzesywania drzew oraz przycinania żywopłotów
7740;Usługi zoologiczne
7750;Usługi hodowli zwierząt
7751;Usługi rozmnażania zwierzyny łownej
7760;Usługi myśliwskie
7761;Usługi zakładania pułapek
7770;Usługi dodatkowe w stosunku do rybołówstwa
7780;Usługi hydroponiczne
7781;Usługi w zakresie hodowli morskich
7782;Usługi w zakresie hodowli ostryg
7783;Usługi w zakresie hodowli skorupiaków
7784;Usługi w zakresie ferm krewetek
7785;Usługi w zakresie ferm rybnych
7790;Usługi pszczelarskie
7900;Usługi biznesowe: prawnicze, marketingowe, konsultingowe, rekrutacji, drukowania i zabezpieczania
7910;Usługi prawnicze
7911;Usługi w zakresie doradztwa prawnego i reprezentacji prawnej
7912;Usługi doradztwa w zakresie patentów i praw autorskich
7913;Usługi prawne w zakresie dokumentów oraz uwierzytelniania
7914;Doradztwo prawne i usługi informacyjne
7920;Usługi księgowe, audytorskie i podatkowe
7921;Usługi księgowe i audytorskie
7922;Usługi podatkowe
7930;"Badania rynkowe i ekonomiczne; ankietowanie i statystyka"
7931;Usługi badania rynku
7932;Usługi badania opinii publicznej
7933;Usługi statystycne
7934;Usługi reklamowe i marketingowe
7940;Usługi doradcze w zakresie działalności gospodarczej i zarządzania oraz podobne
7941;Usługi doradcze w zakresie działalności gospodarczej i zarządzania
7942;Usługi związane z zarządzaniem
7943;Usługi zarządzania kryzysowego
7950;Dodatkowe usługi biurowe
7951;Usługi telefonicznych automatów zgłoszeniowych
7952;Usługi reprograficzne
7953;Usługi w zakresie tłumaczeń pisemnych
7954;Usługi w zakresie tłumaczeń ustnych
7955;Usługi w zakresie komputerowego maszynopisania, przetwarzania tekstu i powiązanych z nimi komputerowych usług wydawniczych
7956;Usługi w zakresie klasyfikowania
7957;Usługi w zakresie tworzenia list adresowych oraz usługi wysyłkowe
7960;Usługi rekrutacyjne
7961;Zapewnianie usług personelu
7962;Usługi w zakresie pozyskiwania personelu, w tym pracowników sezonowych
7963;Usługi dotyczące personelu, z wyjątkiem rekrutacji i pozyskiwania personelu
7970;Usługi detektywistyczne i ochroniarskie
7971;Usługi ochroniarskie
7972;Usługi detektywistyczne
7980;Usługi drukowania i powiązane
7981;Usługi drukowania
7982;Usługi związane z drukowaniem
7990;Różne usługi branżowe i podobne
7991;Usługi zarządzania przedsiębiorstwami holdingowymi
7992;Pakowanie i podobne usługi
7993;Specjalne usługi projektowe
7994;Usługi agencji ściągających należności
7995;Usługi w zakresie organizowania wystaw, targów i kongresów
7996;Usługi fotograficzne i pomocnicze
7997;Usługi publikacji
7998;Usługi prenumeraty
7999;Różne usługi dla przedsiębiorstw
8000;Usługi edukacyjne i szkoleniowe
8010;Usługi szkolnictwa podstawowego
8011;Usługi szkolnictwa przedszkolnego
8020;Usługi szkolnictwa średniego
8021;Usługi edukacji technicznej i zawodowej na poziomie szkoły średniej
8030;Usługi szkolnictwa wyższego
8031;Usługi edukacji młodzieży
8032;Usługi edukacji medycznej
8033;Usługi edukacji w zakresie bezpieczeństwa
8034;Usługi edukacji specjalnej
8040;Usługi edukacji osób dorosłych oraz inne
8041;Różne usługi szkolne
8042;Usługi e-learning
8043;Usługi edukacji osób dorosłych na poziomie akademickim
8049;Prowadzenie ośrodków nauczania
8050;Usługi szkoleniowe
8051;Usługi szkolenia specjalistycznego
8052;Placówki szkoleniowe
8053;Usługi szkolenia zawodowego
8054;Usługi szkolenia w dziedzinie środowiska naturalnego
8055;Usługi szkolenia w dziedzinie bezpieczeństwa
8056;Usługi szkolenia w dziedzinie zdrowia i pierwszej pomocy
8057;Usługi szkolenia w dziedzinie rozwoju osobistego
8058;Oferowanie kursów językowych
8059;Usługi seminaryjne
8060;Usługi szkolenia w zakresie obrony i materiałów bezpieczeństwa
8061;Szkolenie i symulacja w zakresie sprzętu bezpieczeństwa
8062;Szkolenie i symulacja w zakresie broni palnej i amunicji
8063;Szkolenie i symulacja w zakresie pojazdów wojskowych
8064;Szkolenie i symulacja w zakresie okrętów wojennych
8065;Szkolenie i symulacja w zakresie samolotów, rakiet (pocisków rakietowych) i statków kosmicznych
8066;Szkolenie i symulacja w zakresie wojskowych systemów elektronicznych
8500;Usługi w zakresie zdrowia i opieki społecznej
8510;Usługi ochrony zdrowia
8511;Usługi szpitalne i podobne
8512;Usługi medyczne i podobne
8513;Usługi stomatologiczne i podobne
8514;Różne usługi w dziedzinie zdrowia
8515;Usługi obrazowania medycznego
8516;Usługi optyczne
8517;Usługi w zakresie akupunktury i kręgarstwa
8520;Usługi weterynaryjne
8521;Ośrodki pielęgnowania zwierząt domowych
8530;Usługi pracy społecznej i podobnej
8531;Usługi pracy społecznej
8532;Usługi społeczne
9000;Usługi odbioru ścieków, usuwania odpadów, czyszczenia/sprzątania i usługi ekologiczne
9040;Usługi utylizacji nieczystości
9041;Usługi usuwania ścieków
9042;Usługi obróbki ścieków
9043;Usługi likwidacji ścieków
